algorithm,file,iteration,tempo,memoria
exaustiva,input_30_10.txt,5,0.10945463180541992,19
exaustiva,input_30_10.txt,6,0.10626983642578125,19
exaustiva,input_30_10.txt,7,0.11173248291015625,19
exaustiva,input_30_10.txt,8,0.11930131912231445,19
exaustiva,input_30_10.txt,9,0.1679244041442871,19
exaustiva,input_30_10.txt,10,0.12091183662414551,19
exaustiva_opmp,input_30_1.txt,1,1.0578560829162598,7
exaustiva_opmp,input_30_1.txt,2,1.028817892074585,7
exaustiva_opmp,input_30_1.txt,3,1.0077128410339355,8
exaustiva_opmp,input_30_1.txt,4,1.085057020187378,8
exaustiva_opmp,input_30_1.txt,5,1.0784130096435547,7
exaustiva_opmp,input_30_1.txt,6,1.0937016010284424,7
exaustiva_opmp,input_30_1.txt,7,1.0746886730194092,8
exaustiva_opmp,input_30_1.txt,8,1.1200823783874512,7
exaustiva_opmp,input_30_1.txt,9,1.2191746234893799,7
exaustiva_opmp,input_30_1.txt,10,1.1122076511383057,7
exaustiva_opmp,input_30_3.txt,1,0.002674102783203125,10
exaustiva_opmp,input_30_3.txt,2,0.002228975296020508,10
exaustiva_opmp,input_30_3.txt,3,0.002172231674194336,10
exaustiva_opmp,input_30_3.txt,4,0.0020852088928222656,10
exaustiva_opmp,input_30_3.txt,5,0.00211334228515625,10
exaustiva_opmp,input_30_3.txt,6,0.0021131038665771484,10
exaustiva_opmp,input_30_3.txt,7,0.002545595169067383,10
exaustiva_opmp,input_30_3.txt,8,0.0032036304473876953,10
exaustiva_opmp,input_30_3.txt,9,0.002200603485107422,10
exaustiva_opmp,input_30_3.txt,10,0.0022249221801757812,10
exaustiva_opmp,input_30_5.txt,1,0.5092637538909912,8
exaustiva_opmp,input_30_5.txt,2,0.4426727294921875,10
exaustiva_opmp,input_30_5.txt,3,0.4697554111480713,8
exaustiva_opmp,input_30_5.txt,4,0.4447312355041504,8
exaustiva_opmp,input_30_5.txt,5,0.4490959644317627,10
exaustiva_opmp,input_30_5.txt,6,0.42839717864990234,8
exaustiva_opmp,input_30_5.txt,7,0.46938657760620117,10
exaustiva_opmp,input_30_5.txt,8,0.4387519359588623,8
exaustiva_opmp,input_30_5.txt,9,0.43816184997558594,10
exaustiva_opmp,input_30_5.txt,10,0.42873573303222656,10
exaustiva_opmp,input_30_8.txt,1,0.2624335289001465,12
exaustiva_opmp,input_30_8.txt,2,0.30567216873168945,12
exaustiva_opmp,input_30_8.txt,3,0.2536489963531494,12
exaustiva_opmp,input_30_8.txt,4,0.28916096687316895,12
exaustiva_opmp,input_30_8.txt,5,0.34572744369506836,12
exaustiva_opmp,input_30_8.txt,6,0.26765966415405273,12
exaustiva_opmp,input_30_8.txt,7,0.30573105812072754,12
exaustiva_opmp,input_30_8.txt,8,0.2940695285797119,12
exaustiva_opmp,input_30_8.txt,9,0.26525449752807617,12
exaustiva_opmp,input_30_8.txt,10,0.2634000778198242,12
exaustiva_opmp,input_30_10.txt,1,0.11206388473510742,19
exaustiva_opmp,input_30_10.txt,2,0.13254594802856445,19
exaustiva_opmp,input_30_10.txt,3,0.167144775390625,19
exaustiva_opmp,input_30_10.txt,4,0.12779474258422852,19
exaustiva_opmp,input_30_10.txt,5,0.1243138313293457,19
exaustiva_opmp,input_30_10.txt,6,0.12580084800720215,19
exaustiva_opmp,input_30_10.txt,7,0.12435364723205566,19
exaustiva_opmp,input_30_10.txt,8,0.12294459342956543,19
exaustiva_opmp,input_30_10.txt,9,0.11741328239440918,19
exaustiva_opmp,input_30_10.txt,10,0.11033272743225098,19
